id,desil,jumlah_tanggungan,penghasilan,status
278,9,3,3400630,Ditolak
279,4,5,1807557,Diterima
280,5,2,1353021,Diterima
281,9,4,3507935,Ditolak
282,3,0,1165859,Diterima
283,4,5,2012595,Diterima
284,7,8,2781097,Diterima
285,2,7,640599,Diterima
286,8,8,3221097,Diterima
287,10,0,3675271,Ditolak
288,5,7,1183641,Diterima
289,1,0,1425447,Diterima
290,2,7,993114,Diterima
291,8,1,3384393,Ditolak
292,3,4,1141367,Diterima
293,10,8,3707725,Diterima
294,5,7,1669311,Diterima
295,7,1,2802743,Ditolak
296,9,3,3260000,Ditolak
297,4,6,1466885,Diterima
298,2,5,1372837,Diterima
299,5,5,2633790,Diterima
300,2,1,824780,Diterima
